[2018.12.11-00.23.37:978][576]Obj List: 
[2018.12.11-00.23.37:978][576]Objects:
[2018.12.11-00.23.37:978][576]
[2018.12.11-00.25.31:950][576]                                                                                                Class    Count      NumKB      MaxKB   ResExcKB  ResExcDedSysKB  ResExcShrSysKB  ResExcDedVidKB  ResExcShrVidKB     ResExcUnkKB
[2018.12.11-00.25.31:951][576]                                                                                        ArrayProperty     1288     161.00     161.00       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                         ByteProperty     1287     160.88     160.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                           CharacterMovementComponent       88     158.13     158.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                          LandscapeSplineControlPoint      652     157.44     157.44       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                         NavCollision      402     125.63     125.63    8547.02         8547.02            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                              BasePedestrianPath_BP_C       40     117.79     124.00       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                    MaterialExpressionVectorParameter      122      42.87     123.98       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                              SceneCaptureComponent2D       56     123.27     123.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                  FoliageInstancedStaticMeshComponent        6      93.00     114.08      55.23           55.23            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                      NavBlockInvis_C      118     103.25     104.17       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                   BaseTrafficGroupControlVolume_BP_C       99     103.36     103.64       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                          StrProperty      868     101.72     101.72       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                             BasePedAIController_BP_C       86      98.09      98.09       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                         NameProperty      800      93.75      93.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                   BillboardComponent       37      64.17      80.94       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                               PathFollowingComponent       87      80.20      80.20       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                              BlueprintGeneratedClass       55      51.27      55.16       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                            PhysicsConstraintTemplate       67      54.44      54.44       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                             Skeleton        7      48.50      52.64       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                          Pedestrian_HispanicFemale_C       22      44.33      45.66       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                            LandscapeSplinesComponent        1      30.91      43.50       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                             SCS_Node      127      42.02      42.16       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                     DelegateFunction      192      38.17      41.94       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                             Pedestrian_AsianFemale_C       20      40.31      41.56       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                           BaseIntersectionLogic_BP_C       33      38.36      39.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                               GameplayTasksComponent       87      32.44      36.70       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                  BasePedestrianConnectionVolume_BP_C       37      35.27      35.84       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                         EnumProperty      268      35.59      35.59       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                        ClassProperty      267      35.46      35.46       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                               Pedestrian_AsianMale_C       16      32.25      33.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                            Pedestrian_HispanicMale_C       16      32.23      33.19       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                   LandscapeComponent       12      25.67      31.30      13.31           12.19            0.00            0.00            0.00            1.13
[2018.12.11-00.25.31:952][576]                                                                                 PawnActionsComponent       87      29.23      30.05       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                MaterialExpressionStaticBoolParameter       50      23.65      29.84       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                               LandscapeHeightfieldCollisionComponent       12      23.05      29.22     202.73          202.73            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                           Pedestrian_CaucasianMale_C       14      28.22      29.09       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                            MulticastDelegateProperty      228      28.50      28.50       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                            TextBlock       51      27.49      27.49       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                     MaterialFunction       65      15.88      27.19       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                Vehicle_Hatchback01_C       16      22.19      25.50       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                                Model       11      24.84      24.84       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                              MaterialExpressionStaticSwitchParameter       53      16.36      22.63       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                     Vehicle_Cupe01_C       14      19.40      22.31       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                           NavigationInvokerComponent       89      22.25      22.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                     Vehicle_Saloon_C       14      19.38      22.00       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                    BasePedestrianPath_Crosswalk_BP_C       17      21.13      21.36       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                         TextProperty      173      20.27      20.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                              Vehicle_PoliceCruiser_C       12      16.65      19.31       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                    Vehicle_Sedan01_C       12      16.59      18.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                      CameraComponent        9      18.28      18.28       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                               Button       18      17.80      18.17       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                          SpeedSign_C       20      17.97      17.97       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                       BP_PIPCamera_C        6      15.70      17.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                       BrushComponent        7      12.23      15.31       2.46            2.46            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                      EditableTextBox        6      14.11      14.11       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                       BP_LightPost_C       14      14.00      14.11       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                                World        5      12.99      13.77       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                             MaterialExpressionTextureObjectParameter       20      10.57      12.98       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                    BP_TrafficLight_C       14      12.80      12.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                TextureRenderTarget2D       48      12.38      12.38   11520.00            0.00            0.00            0.00            0.00        11520.00
[2018.12.11-00.25.31:952][576]                                                                                      Vehicle_SUV01_C        7       9.67      10.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                                    TimelineComponent       18      10.69      10.69       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                        WidgetBlueprintGeneratedClass        3       9.40      10.31       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                             SimpleConstructionScript       47       9.84      10.14       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:952][576]                                                                    LandscapeMaterialInstanceConstant       16       9.46       9.46       6.95            6.95            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                       ComboBoxString        3       9.19       9.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                               Border       15       8.91       9.02       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                           GameEngine        1       7.71       8.71       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                                 Font        4       8.10       8.65     128.00            0.00            0.00            0.00            0.00          128.00
[2018.12.11-00.25.31:953][576]                                                                                       BP_Crosswalk_C        9       8.51       8.58       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                       UInt32Property       71       8.32       8.32       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                           CurveFloat        2       6.96       8.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                     DelegateProperty       65       8.13       8.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                      TrafficGroupControlVolume_Car_C        7       7.39       7.43       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                  PlayerCameraManager        1       6.76       6.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                        DeviceProfile        2       3.73       6.80       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                   LineBatchComponent        3       5.30       6.66       1.41            1.41            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                        WorldSettings        5       6.41       6.44       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                      MaterialExpressionTextureObject       23       3.63       6.34       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                          MapProperty       36       6.19       6.19       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                            ScrollBox        3       5.72       5.74       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                         MaterialExpressionTextureSampleParameterCube        4       2.98       5.69       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                                Image       12       5.44       5.44       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                         PhysicsAsset        7       4.95       5.08     114.36          114.36            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                        HorizontalBox       15       4.76       4.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                    Dumpster_Closed_C        5       4.61       4.61       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                     ParticleLODLevel        9       3.00       4.42       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                    InterfaceProperty       35       4.38       4.38       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                 MaterialExpressionFeatureLevelSwitch        8       3.31       4.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                    HorizontalBoxSlot       39       3.96       3.96       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                InstancedFoliageActor        4       3.91       3.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                      Lighting_Pole_C        4       3.63       3.63       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                          SetProperty       23       3.59       3.59       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                       InputComponent       10       3.59       3.59       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                ParticleSpriteEmitter        9       3.45       3.52       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                  MaterialParameterCollectionInstance       15       3.52       3.52       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                      CanvasPanelSlot       30       3.52       3.52       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                      FoliageType_InstancedStaticMesh        2       2.39       3.41       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                   WeakObjectProperty       27       3.38       3.38       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                               ParticleModuleRequired        9       3.30       3.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                MaterialExpressionCollectionParameter        9       2.06       3.15       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                     CurveLinearColor        3       3.04       3.12       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                            ParticleModuleTypeDataGpu        2       2.95       3.06       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                      VerticalBoxSlot       30       3.05       3.05       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                MaterialExpressionFontSampleParameter        3       1.03       3.02       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                          CanvasPanel        9       2.91       2.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                             ScaleBox        9       2.88       2.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                  NavMeshBoundsVolume        3       2.77       2.77       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:953][576]                                                                                   SubstanceTexture2D        8       2.75       2.75  120149.33       120149.33            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                  ParticleModuleSpawn        9       2.48       2.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                   SoftObjectProperty       22       2.75       2.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                              ParticleSystemComponent        1       2.28       2.73       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                               Slider        3       2.72       2.72       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                               MaterialExpressionSpriteTextureSampler        2       1.33       2.66       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                            SuvAnim_C        1       2.61       2.64       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                            Landscape        1       2.08       2.58       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                      MaterialExpressionParticleSubUV        2       1.22       2.55       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                 MapBuildDataRegistry        5       2.44       2.44       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                            NavMeshRenderingComponent        1       1.88       2.33       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                   GameplayDebuggerRenderingComponent        1       1.81       2.31       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                       CameraAnimInst        8       2.25       2.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                          PlayerInput        1       2.07       2.20       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                  PedestrianSpawner_C        1       2.03       2.20       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                    PostProcessVolume        1       2.19       2.19       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                        LandscapeGizmoRenderComponent        1       1.66       2.16       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                          CameraActor        1       2.16       2.16       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                          AnimBlueprintGeneratedClass        2       1.84       2.12       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                          VerticalBox        6       2.02       2.02       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                NullIntersection_BP_C        2       1.98       2.00       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                          ParticleModuleColorOverLife        6       1.92       1.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                            SoundWave        3       1.92       1.92     790.59          790.59            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                          InheritableComponentHandler       15       1.92       1.92       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                      MaterialExpressionQualitySwitch        4       1.44       1.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                       AudioComponent        1       1.78       1.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                    SoftClassProperty       14       1.86       1.86       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                      Dumpster_Open_C        2       1.84       1.84       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                     PlayerController        1       1.76       1.84       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                           ButtonSlot       18       1.83       1.83       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                        RecastNavMesh        1       1.78       1.81       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                             FontFace        7       1.54       1.78    1385.43         1385.43            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                MaterialExpressionLandscapeLayerBlend        2       1.53       1.77       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                     VehicleSpawner_C        1       1.59       1.77       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                      CarInfoWidget_C        2       1.61       1.61       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                     NavigationSystem        1       1.20       1.61       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                   SpringArmComponent        2       1.57       1.59       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                   GameViewportClient        1       1.55       1.55       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                       DoubleProperty       13       1.52       1.52       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                           BorderSlot       15       1.52       1.52       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                             HeroCarSplineCollActor_C        1       1.46       1.49       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                           SimModeCar        1       1.45       1.48       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                    WheeledVehicleMovementComponent4W        1       1.47       1.47       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                   ParticleModuleSize        9       1.39       1.46       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                            DistributionFloatConstant       20       1.41       1.41       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                               Canvas        2       1.38       1.38       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                    BP_SimHUDWidget_C        2       1.38       1.38       0.00            0.00            0.00            0.00            0.00            0.00
